Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 157000  Y 180000
X 165500  Y 171000
X 199851  Y 195830
X 199851  Y 192680
X 203000  Y 192600
X 203001  Y 195830
X 206150  Y 195830
X 206200  Y 192700
X 209300  Y 195830
X 209400  Y 192700
X 212400  Y 195600
X 212500  Y 192500
X 215599  Y 195830
X 215700  Y 192700
X 215949  Y 188848
X 221898  Y 195830
X 222200  Y 192300
X 225048  Y 195830
X 225048  Y 192680
X 228197  Y 192680
X 228500  Y 195800
X 231347  Y 195830
X 231347  Y 192680
X 234497  Y 192680
X 234497  Y 195830
X 237646  Y 195830
X 237646  Y 192680
X 354051  Y 193150
X 357100  Y 193300
X 360350  Y 193150
X 363657  Y 193307
X 366600  Y 193200
X 369799  Y 193150
X 376098  Y 193150
X 379200  Y 193100
X 382397  Y 193150
X 385547  Y 193150
X 388697  Y 193150
X 391846  Y 193150
X 398433  Y 211048
X 392000  Y 196100
X 391846  Y 205748
X 391846  Y 199199
X 391846  Y 202599
X 391846  Y 208898
X 391846  Y 218347
X 388697  Y 215197
X 388697  Y 208898
X 388697  Y 205748
X 388697  Y 202599
X 388697  Y 199199
X 388697  Y 218347
X 388600  Y 196200
X 385547  Y 199449
X 385547  Y 196300
X 385547  Y 208898
X 385547  Y 205748
X 385547  Y 202599
X 385547  Y 215197
X 385468  Y 218290
X 382397  Y 196300
X 382397  Y 215197
X 382397  Y 208898
X 382397  Y 202599
X 382397  Y 199449
X 382397  Y 205748
X 382397  Y 218347
X 379248  Y 196300
X 379248  Y 202599
X 379248  Y 199449
X 376098  Y 196300
X 376098  Y 199449
X 376098  Y 202599
X 369799  Y 199449
X 369799  Y 202599
X 369799  Y 196300
X 367649  Y 215048
X 366649  Y 202599
X 366649  Y 196300
X 366649  Y 199449
X 363500  Y 215197
X 363500  Y 208898
X 363500  Y 205748
X 363500  Y 202599
X 363500  Y 199449
X 363500  Y 196300
X 363500  Y 218347
X 360350  Y 196300
X 360350  Y 208898
X 360350  Y 205748
X 360350  Y 199449
X 360350  Y 215197
X 360350  Y 202599
X 360350  Y 218347
X 357300  Y 218200
